縣市,goal,Mapping_id,id,indicator,description,indicator_en,description_en
桃園市,1,,1,兒少未來教育與發展 帳戶開戶率,符合資格者開戶率,,
桃園市,1,,2,兒少未來教育與發展 帳戶持續存款率,開戶後持續存款比率,,
桃園市,1,,3,脆弱家庭服務3個月後案件 被通報保護案件比率,脆弱家庭服務滿3個月後案件 被通報保護(兒保及成保)案 件，目標值自2021年起低於 7.5%至2025年降至低於5.5%,,
桃園市,2,,4,產銷履歷面積,產銷履歷通過驗證面積,,
桃園市,2,,5,有機農業耕種面積,,,
桃園市,3,,6,酒醉駕車肇事率,道路交通事故肇事原因為 酒醉駕車之比率,,
桃園市,3,,7,規律運動人口比率,調查桃園市18歲以上 一週內運動３次每次 30分鐘運動人口比率,,
桃園市,3,,8,每十萬人交通事故死亡率,每十萬人口數死於交通事故 的人數比率,,
桃園市,4,,9,原住民族部落大學 終身學習參與人次,每門課程參加人數 之加總,,
桃園市,4,,10,國中小學生生涯規劃暨 職業試探計畫參與人次,參加該計畫各項目課程 之學生人次加總，包含 技藝教育專班、抽離式 技藝教育、技藝教育社 團、技藝教育育樂營、 職探中心課程,,
桃園市,4,,11,終身學習參與人次,樂齡學習中心參與人次,,
桃園市,4,,12,數位人才培育課程 參與人次,數位人才培育課程累積 參與人次,,
桃園市,5,,13,桃園市政府晉用女性簡任 官等職務比率,桃園市政府晉用女性簡任官 等職務比率(不含警消),,
桃園市,5,,14,推動家暴、性侵害及性剝 削防治 - 當年度宣導活動 參與情形,年度接受宣導人次,,
桃園市,6,,15,原住民族地區簡易 自來水系統改善率,改善桃園市復興區簡易 自來水系統情形,,
桃園市,6,,16,公共污水下水道用戶 接管普及率(％) (一戶以4人計),,,
桃園市,6,,17,桃園市主要河川 BOD 平均濃度,桃園市主要河川 BOD 平均 濃度(南崁溪、老街溪、社 子溪、福興溪、大漢溪),,
桃園市,6,,18,河川嚴重污染長度比率,,,
桃園市,6,,19,本市自來水補助受益戶數,本市自來水延管及外線累 計補助受益戶數,,
桃園市,6,,20,毒性及關注化學物質 流向追蹤案件數,依行政院環境保護署系 統產出上下游流向異常 名單進行追蹤,,
桃園市,7,,21,再生能源累計發電度數,再生能源(太陽能、風力、 水力及其它)累計發電度數 加總,,
桃園市,7,,22,LED 智能路燈換裝計畫 - 累積減碳量,自2019年換裝開始累積節 電度數換算減碳量，每年 預估節碳7.5萬噸，相當於 200 座大安森林公園固碳量,,
桃園市,7,,23,一般廢棄物經處理設施或 經太陽光電系統所產生之 發電量,發電功率 X 發電時數,,
桃園市,8,,24,青年(15-29歲)失業率,青年失業者占青年勞動力 的比率,,
